ContextID,GroupID,Dom_NonDom,Survey,Year,Location
2,21,Domestic LR,Eskom LR,2000,Garagapola
2,23,Domestic LR,Eskom LR,2000,Gasese
2,25,Domestic LR,Eskom LR,2000,Antioch
2,20,Domestic LR,Eskom LR,2000,Makipsvlei
2,22,Domestic LR,Eskom LR,2000,Tambo
2,24,Domestic LR,Eskom LR,2000,Qumbu
2,28,Domestic LR,Eskom LR,2000,Mafefe
4,77,Domestic LR,Eskom LR,1999,Tambo
4,79,Domestic LR,Eskom LR,1999,Makipsvlei
4,81,Domestic LR,Eskom LR,1999,Antioch
4,83,Domestic LR,Eskom LR,1999,Gasese
4,84,Domestic LR,Eskom LR,1999,Mafefe
4,78,Domestic LR,Eskom LR,1999,Qumbu
4,80,Domestic LR,Eskom LR,1999,Ivory Park
4,82,Domestic LR,Eskom LR,1999,Garagapola
4,57,Domestic LR,Eskom LR,1998,Ivory Park
4,58,Domestic LR,Eskom LR,1998,Mafefe
4,59,Domestic LR,Eskom LR,1998,Makipsvlei
4,61,Domestic LR,Eskom LR,1998,Tambo
4,60,Domestic LR,Eskom LR,1997,Makipsvlei
4,62,Domestic LR,Eskom LR,1997,Tambo
0,1000100,Domestic LR,Eskom LR,1997,roup
0,1000101,Domestic LR,Eskom LR,1997,roup
2,101,Domestic LR,Eskom LR,2001,Gasese
2,103,Domestic LR,Eskom LR,2001,Tambo
2,98,Domestic LR,Eskom LR,2001,Garagapola
2,100,Domestic LR,Eskom LR,2001,Antioch
2,102,Domestic LR,Eskom LR,2001,Mafefe
2,104,Domestic LR,Eskom LR,2001,Mfazazane
2,114,Domestic LR,Eskom LR,2002,Garagapola
2,116,Domestic LR,Eskom LR,2002,Mafefe
2,118,Domestic LR,Eskom LR,2002,Tambo
2,2000002,Domestic LR,Eskom LR,2002,Matshana
2,2000003,Domestic LR,Eskom LR,2002,Maconqo
2,1000005,Domestic LR,Eskom LR,2002,Ikgomotseng
2,113,Domestic LR,Eskom LR,2002,Antioch
2,115,Domestic LR,Eskom LR,2002,Gasese
2,117,Domestic LR,Eskom LR,2002,Mfazazane
2,1000007,Domestic LR,Eskom LR,2003,Antioch
2,1000008,Domestic LR,Eskom LR,2003,Garagapola
2,1000009,Domestic LR,Eskom LR,2003,Gasese
2,1000010,Domestic LR,Eskom LR,2003,Ikgomotseng
2,1000011,Domestic LR,Eskom LR,2003,Maconqo
2,1000012,Domestic LR,Eskom LR,2003,Matshana
2,1000013,Domestic LR,Eskom LR,2003,Mfazazane
2,1000014,Domestic LR,Eskom LR,2003,Tambo
2,1000022,Domestic LR,Eskom LR,2004,Matshana
2,1000026,Domestic LR,Eskom LR,2004,Vlaklaagte
2,1000027,Domestic LR,Eskom LR,2004,Khayalitsha
2,1000028,Domestic LR,Eskom LR,2004,Dinokana
2,1000029,Domestic LR,Eskom LR,2004,Driekoppies
