k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,n_clust,cluster_size
0,1.227209581397934,0.9751104329541991,1.0511927836039519,0.9802863571067595,1.1400684383703998,2.146739540950652,3.5768248978167314,3.39825731780377,2.3348245281837565,2.434104605213671,2.302216206367954,2.0958770549198977,2.2970478710715803,2.36830668933963,2.773837738826425,3.146004509004601,3.6642351590560405,4.349343799116181,5.426820259169807,5.3461304793242235,5.083185150804386,3.998392097199476,2.8528574256691632,1.677228593396806,5,14034
1,1.1489073595927644,1.0076019592741365,0.9267133307233927,0.9023980439215455,0.9901167274043439,1.3410427860409466,2.073509279451869,2.9129242605337935,3.9535933046663008,4.2521148990974185,4.205010003485023,4.4608481905298545,3.6916376310770422,3.2466088130832857,2.6631693248203985,2.339568631399505,2.232522151891276,1.895092749572705,2.6757708589085665,2.9705274859099244,3.247691332135199,2.565913342875913,1.9132245170905584,1.3741998541348803,5,7886
2,6.177222231444386,4.906666676141321,3.704722240049805,2.941388882882893,2.9527777631870578,5.824722219568987,6.853888891223405,9.430833292545541,9.309722195565701,9.068333348549073,11.252499982507693,10.814999991158645,11.071111093420122,11.528333322414094,10.487499977917306,9.830833359248938,11.854722194042472,12.874444431728788,13.74166669514444,14.706944397423003,13.876666661103565,11.768611093362173,9.028611084487702,7.089444430420796,5,1337
3,2.381916473129347,2.0250244959470836,1.9413534945033304,1.7539096179961011,1.9374659580091973,2.822420613165277,4.518135464705036,5.435187784462423,4.966733292680311,5.670539192936452,5.745123103792333,5.799852107810763,5.451752363901389,5.427219183269948,5.322812728125119,5.188016782759302,5.515136421913632,6.192647320247529,8.58787203193336,9.052884685020055,8.309442349281708,7.437667134578197,5.225627402830321,3.206309860983606,5,7379
4,0.37123552505660296,0.34881141722940423,0.3502579562993838,0.3460963111747673,0.39689642722955065,0.7118803993178345,1.0269706026074805,0.9886311989735229,0.8747717224031966,0.7621941433285354,0.654769296635982,0.6557540025918077,0.6774224625592118,0.7472846853159942,0.7632726498646336,0.8161732574239686,0.9716203484194471,1.0455911052931266,1.4634780495573867,1.636237743759402,1.4958714169564293,1.154828660903176,0.6872826379084171,0.46993766422539074,5,30745
0,2.106449193431889,1.7531314512487455,1.6094971362041264,1.633577899126491,1.8519682796250678,3.0039927115187135,4.985306162138779,5.667802250770564,4.454493932784645,4.650108043505766,4.978383212415723,4.728232010502723,4.8952561985479575,5.12784114488833,5.120077789142464,5.976777977867806,7.327520411203815,7.833275566053843,9.449047805342845,9.34725988531441,8.547276113331042,7.5808527488073,5.643487162680722,3.4860889071698424,10,4388
1,0.6876902789418602,0.6387024668605872,0.6138114239275821,0.6029367898202354,0.7265485171419549,1.1885536318976666,1.7918543825233404,1.8708553438431248,1.7165618386165962,1.6724270436099669,1.4961511769895823,1.4938622492952613,1.5483778559465566,1.5859866603219237,1.6384067062658123,1.7028756417200306,2.0259849984051828,2.3455898348303026,2.827685263437495,2.941360862126431,2.642693982413801,1.9208876866960274,1.32518155485466,0.9072679581261905,10,17999
2,1.4025106242152876,1.1793074886081742,1.1721177028632388,1.1584049112650041,1.362039221056366,2.1064826242425716,2.871010722566802,3.3984755418423074,3.4218205817728844,3.4778712259739857,3.438774351592836,3.0569588693966256,3.4692132306958325,3.7586574974593705,4.077809275887334,4.617855190959735,4.858475116575555,4.629414825378139,4.765397250786638,5.205426830902267,5.130415217924075,4.182854183102978,2.975743828780459,1.849148359348794,10,7385
3,5.597197846294257,4.453093134171141,3.064619271267278,2.4291094741449246,3.293338226373582,4.463285961377075,5.121349674521708,7.404669931389731,11.031998357924271,12.288735303053866,13.022970625899392,14.046102933366514,13.543114392829489,11.373671569952778,9.10829410793296,7.856401960797655,7.697511432753278,8.401949360917987,9.609727158071165,11.203514708023448,10.48421897110986,9.062710805509994,6.976968954493797,5.524119278038638,10,930
4,1.4401057928938892,1.149063432265986,1.1682784697719368,1.0983067609254624,1.2962891235121137,2.7768093493703345,5.487862065498599,4.815276781719171,2.6396027210483095,2.3022244068421465,2.1590746539502477,2.229630292411771,2.0500197568881604,1.975655951155,2.0013878593326155,2.0351547248178385,2.114864799488031,3.6296210874028283,6.383891047410273,6.499601730716643,6.108747262256857,4.891224107991238,3.1148826933356943,1.9072007189839912,10,6336
